,model,mse,thetas
46,3 4 3,3.9002356575110435e+29,0.9999999999999755 0.9999999999989891 0.9999999999415683 0.9999999962266262 0.9999999999396543 0.9999998493076379 0.9996152350832173 -0.000384116459355998 0.9999999999998144 0.9999999999981838 0.9999999999803882
47,3 4 4,3.9002611605187284e+29,0.9999999999999755 0.9999999999989891 0.9999999999415683 0.9999999962266262 0.9999999999396543 0.9999998493076376 0.9996152350813763 -0.0003841166841881241 0.9999999999998144 0.9999999999981838 0.9999999999803882 0.9999999997733267
48,4 1 1,5.878845256387986e+164,1.1105301863935402e+62 7.974453046025333e+63 5.883738788761911e+65 4.42695960854245e+67 3.3802857622491022e+69 2.254984900009512e+65 8.262040082395435e+62
49,4 1 2,5.878872552160278e+164,1.110532764519623e+62 7.97447155887954e+63 5.883752447968439e+65 4.426969885805124e+67 3.380293609638464e+69 2.254990135018552e+65 8.262059263008215e+62 7.946623532068882e+63
50,4 1 3,5.879170084174583e+164,1.110560867056377e+62 7.974673349931651e+63 5.883901332709807e+65 4.427081907028466e+67 3.380379145249761e+69 2.255047198587905e+65 8.262268346936437e+62 7.946824639382542e+63 8.603818923370507e+64
51,4 1 4,5.882878432105014e+164,1.1109111470255635e+62 7.977187745465835e+63 5.885756320221474e+65 4.428477539634158e+67 3.3814447743537113e+69 2.255758461304195e+65 8.264875640693587e+62 7.949333335854187e+63 8.60653579060748e+64 9.94580852410081e+65
52,4 2 1,1.8817254883571862e+170,6.389897266870913e+64 4.472274849776215e+66 3.27435783774811e+68 2.454174117740195e+70 1.8696313277676266e+72 1.3064237632279752e+68 2.829367005051821e+71 4.757891525476273e+65
53,4 2 2,1.8817334065365363e+170,6.389910711022185e+64 4.472284259276938e+66 3.274364726868886e+68 2.4541792812239395e+70 1.869635261395667e+72 1.3064265119042396e+68 2.829372957954818e+71 4.757901535971377e+65 4.577881248535337e+66
54,4 2 3,1.8818198248215293e+170,6.390057440389545e+64 4.472386951203971e+66 3.274439911531776e+68 2.4542356328117122e+70 1.8696781908518832e+72 1.3064565109403788e+68 2.8294379279009006e+71 4.758010794999247e+65 4.5779863769919184e+66 4.957315909209697e+67
55,4 2 4,1.8829094296364773e+170,6.391907584173606e+64 4.473681376169148e+66 3.275387510458868e+68 2.4549458301708944e+70 1.8702192130788975e+72 1.3068347760620587e+68 2.8302571493198176e+71 4.75938914117311e+65 4.579313105142944e+66 4.958753001751823e+67 5.730869501427005e+68
56,4 3 1,8.311701132737764e+22,0.9999999788347157 0.9999978899212114 0.9998316377984325 0.9868658176897097 -0.023904798641127288 0.9999716048145988 0.9700199226007533 -0.00038094767784381946 0.9999998440765779
57,4 3 2,8.312468380504733e+22,0.9999999788343219 0.9999978899096827 0.9998316373401073 0.9868657975118235 -0.023905708953840046 0.9999716042725192 0.9700193620472343 -0.00038095185810981013 0.9999998440685023 0.9999985036436617
58,4 3 3,8.32081840030997e+22,0.9999999788304051 0.999997889796561 0.9998316329416919 0.9868656088610304 -0.02391393744486376 0.9999715988685929 0.9700137902531121 -0.0003809986253410178 0.9999998439715543 0.9999985022531573 0.9999837750375165
59,4 3 4,8.420049372890442e+22,0.9999999787868689 0.9999978885655886 0.9998315858184386 0.9868636238006868 -0.023998554748905894 0.999971539410744 0.9699525673623066 -0.00038154842242676924 0.9999998427757556 0.9999984844897036 0.9999835317520559 0.9998089578909103
60,4 4 1,3.931597653798403e+29,0.9999999999999755 0.9999999999989891 0.9999999999415464 0.9999999962259594 0.9999997401579545 0.9999999999396543 0.9999998493057556 0.9996152329808138 -0.00038437412306048817 0.9999999999998144
61,4 4 2,3.9315978604058174e+29,0.9999999999999755 0.9999999999989891 0.9999999999415464 0.9999999962259594 0.9999997401579545 0.9999999999396543 0.9999998493057556 0.9996152329807996 -0.0003843741248538919 0.9999999999998144 0.9999999999981838
62,4 4 3,3.9316000877180344e+29,0.9999999999999755 0.9999999999989891 0.9999999999415464 0.9999999962259594 0.9999997401579545 0.9999999999396543 0.9999998493057555 0.9996152329806409 -0.00038437414430293 0.9999999999998144 0.9999999999981838 0.9999999999803882
63,4 4 4,3.931625726018065e+29,0.9999999999999755 0.9999999999989891 0.9999999999415464 0.9999999962259594 0.9999997401579538 0.9999999999396543 0.9999998493057555 0.9996152329788001 -0.00038437436913505617 0.9999999999998144 0.9999999999981838 0.9999999999803882 0.9999999997733263
