,model,mse,thetas
53,4 2 2,53884754310.26967,1.0000007658243266 1.000022237263625 1.0006710887157448 1.011077101025283 -0.0030520489468403664 1.0005141192135512 0.09566088964345591 1.0000059480894437 1.000058445211829
54,4 2 3,53756029332.38299,1.0000007644319164 1.0000222031118324 1.000669963635023 1.0110452906587182 -0.003057528922369982 1.0005127254755453 0.09552808896593558 1.0000059050669157 1.0000578090696093 1.000631789865918
55,4 2 4,52437912268.113235,1.0000007481535402 1.000021804793874 1.0006568230956936 1.0106732669531633 -0.003120969989787012 1.0004964310236617 0.09398337196425806 1.0000053609981618 1.0000495107667384 1.0005169157626186 1.0057971552147145
56,4 3 1,237877745774419.2,0.999999999584055 0.9999999503581692 0.9999958934576224 0.9996742812089533 0.9743600385048883 0.9999993774680366 0.9991245319760833 -0.001094881212449885 0.9999999969347696
57,4 3 2,237878257734158.97,0.9999999995840531 0.9999999503580775 0.9999958934524251 0.9996742808774505 0.9743600158956809 0.9999993774650165 0.9991245288628785 -0.00109488611658132 0.999999996934728 0.9999999704891396
58,4 3 3,237883835960427.53,0.9999999995840285 0.999999950357079 0.999995893395967 0.9996742772805146 0.9743597710413542 0.9999993774319937 0.9991244947999794 -0.001094939250490866 0.9999999969342089 0.9999999704819614 0.9999996800470862
59,4 3 4,237948693963289.84,0.9999999995837472 0.9999999503454934 0.9999958927416313 0.9996742356410867 0.9743569395755549 0.9999993770475488 0.9991240981229024 -0.0010955534905205725 0.9999999969278046 0.9999999703896675 0.999999678797488 0.9999962815241229
60,4 4 1,2.520761280263586e+18,0.9999999999999756 0.9999999999989811 0.9999999999188348 0.9999999946874327 0.9999996321439432 0.9999999999248049 0.9999998281787269 0.9995911592072044 -0.00038367862487306717 0.9999999999998194
61,4 4 2,2.5207614105206897e+18,0.9999999999999756 0.9999999999989811 0.9999999999188348 0.9999999946874327 0.9999996321439403 0.9999999999248049 0.9999998281787256 0.99959115920651 -0.00038367862660740017 0.9999999999998194 0.9999999999971547
62,4 4 3,2.520762810153749e+18,0.9999999999999756 0.9999999999989811 0.9999999999188348 0.9999999946874327 0.9999996321439099 0.9999999999248049 0.9999998281787116 0.999591159198913 -0.00038367864537917695 0.9999999999998194 0.9999999999971547 0.9999999999734467
63,4 4 4,2.520778884302073e+18,0.9999999999999756 0.9999999999989811 0.9999999999188348 0.9999999946874327 0.9999996321434351 0.9999999999248049 0.9999998281785487 0.9995911591104666 -0.00038367886222022364 0.9999999999998194 0.9999999999971547 0.9999999999734467 0.9999999996942239
